Start of new Program cycle.   
 - Exit Found  # 1
 - Exit Found  # 2
 - Exit Found  # 3
 - Exit Found  # 4
 - Exit Found  # 5
 - Exit Found  # 6
 - Exit Found  # 7
 - Exit Found  # 8
 - Exit Found  # 9
 - Exit Found  # 10
 - Exit Found  # 11
 - Exit Found  # 12
 - Exit Found  # 13
 - Exit Found  # 14
 - Exit Found  # 15
 - Exit Found  # 16
 - Exit Found  # 17
 - Exit Found  # 18
 - Exit Found  # 19
 - Exit Found  # 20
 - Exit Found  # 21
 - Exit Found  # 22
 - Exit Found  # 23
 - Exit Found  # 24
 - Exit Found  # 25
 - Exit Found  # 26
 - Exit Found  # 27
 - Exit Found  # 28
 - Exit Found  # 29
 - Exit Found  # 30
 - Exit Found  # 31
 - Exit Found  # 32
 - Exit Found  # 33
 - Exit Found  # 34
 - Exit Found  # 35
 - Exit Found  # 36
 - Exit Found  # 37
 - Exit Found  # 38
 - Exit Found  # 39
 - Exit Found  # 40
 - Exit Found  # 41
 - Exit Found  # 42
 - Exit Found  # 43
 - Exit Found  # 44
 - Exit Found  # 45
 - Exit Found  # 46
 - Exit Found  # 47
 - Exit Found  # 48
 - Exit Found  # 49
 - Exit Found  # 50
 - Exit Found  # 51
 - Exit Found  # 52
 - Exit Found  # 53
 - Exit Found  # 54
 - Exit Found  # 55
 - Exit Found  # 56
 - Exit Found  # 57
 - Exit Found  # 58
 - Exit Found  # 59
 - Exit Found  # 60
 - Exit Found  # 61
 - Exit Found  # 62
 - Exit Found  # 63
 - Exit Found  # 64
 - Exit Found  # 65
 - Exit Found  # 66
 - Exit Found  # 67
 - Exit Found  # 68
 - Exit Found  # 69
 - Exit Found  # 70
 - Exit Found  # 71
 - Exit Found  # 72
 - Exit Found  # 73
 - Exit Found  # 74
 - Exit Found  # 75
 - Exit Found  # 76
 - Exit Found  # 77
 - Exit Found  # 78
 - Exit Found  # 79
 - Exit Found  # 80
 - Exit Found  # 81
 - Exit Found  # 82
 - Exit Found  # 83
 - Exit Found  # 84
 - Exit Found  # 85
 - Exit Found  # 86
 - Exit Found  # 87
