2020.12.21 14:25:50; 12; 1:33; ESCAPED; 0:55;
2020.12.21 14:41:12; 21; 5:3; ESCAPED; 3:0;
2020.12.21 14:56:32; 22; 19:23; ESCAPED; 11:34;
2020.12.21 15:11:53; 25; 22:59; ESCAPED; 13:46;
2020.12.21 15:27:14; 20; 18:54; ESCAPED; 11:13;
2020.12.21 15:42:35; 34; 13:30; ESCAPED; 8:2;
2020.12.21 15:57:56; 11; 3:44; ESCAPED; 2:11;
2020.12.21 16:13:16; 32; 14:45; ESCAPED; 8:50;
2020.12.21 16:28:37; 16; 2:21; ESCAPED; 1:22;
2020.12.21 16:43:58; 9; 21:31; ESCAPED; 12:42;
2020.12.21 16:59:18; 22; 18:30; ESCAPED; 10:59;
2020.12.21 17:14:40; 22; 18:46; ESCAPED; 11:12;
2020.12.21 17:30:0; 12; 1:31; ESCAPED; 0:53;
2020.12.21 17:45:21; 28; 17:0; ESCAPED; 10:8;
2020.12.21 18:0:42; 8; 2:52; ESCAPED; 1:42;
