Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	385	35	0
1	386	31	0
1	387	48	0
1	388	52	0
1	389	86	0
1	390	72	0
1	391	24	0
1	392	24	0
1	393	21	0
1	394	21	0
1	395	22	0
1	396	20	0
1	397	36	0
1	398	71	0
1	399	30	0
1	400	202	0
1	401	224	0
1	402	195	0
1	403	179	0
1	404	243	0
1	405	3343	3
1	406	88	0
1	407	141	0
1	408	136	0
1	409	106	0
1	410	61	0
1	411	62	0
1	412	3029	3
1	413	144	0
1	414	146	0
1	415	394	0
1	416	374	0
1	417	1639	1
1	418	3054	3
1	419	2846	2
1	420	1494	1
1	421	3884	3
1	422	2345	2
1	423	224	0
1	424	237	0
1	425	127	0
1	426	178	0
1	427	363	0
1	428	374	0
1	429	269	0
1	430	435	0
1	431	829	0
1	432	209	0
1	433	150	0
1	434	170	0
1	435	151	0
1	436	196	0
1	437	687	0
1	438	739	0
1	439	465	0
1	440	3068	3
1	441	2430	2
1	442	655	0
1	443	2564	2
1	444	1696	1
1	445	3479	3
1	446	2661	2
1	447	2829	2
1	448	841	0
1	449	3372	3
1	450	2513	2
1	451	133	0
1	452	272	0
1	453	313	0
1	454	2275	2
1	455	1184	1
1	456	1635	1
1	457	1201	1
1	458	199	0
1	459	291	0
1	460	250	0
1	461	2342	2
1	462	2514	2
1	463	94	0
1	464	1528	1
1	465	2310	2
1	466	2248	2
1	467	2265	2
1	468	3239	3
1	469	1669	1
1	470	128	0
1	471	271	0
1	472	365	0
1	473	1410	1
1	474	123	0
1	475	325	0
1	476	428	0
1	477	906	0
1	478	1738	1
1	479	203	0
1	480	197	0
1	481	407	0
1	482	678	0
1	483	1907	1
1	484	1159	1
1	485	1243	1
1	486	138	0
1	487	93	0
1	488	2066	2
1	489	214	0
1	490	128	0
1	491	128	0
1	492	157	0
1	493	142	0
1	494	226	0
1	495	2778	2
1	496	2855	2
1	497	1887	1
1	498	81	0
1	499	107	0
1	500	139	0
1	501	154	0
1	502	447	0
1	503	302	0
1	504	274	0
1	505	2635	2
1	506	2432	2
1	507	542	0
1	508	302	0
1	509	515	0
1	510	329	0
1	511	624	0
1	512	1113	1
1	513	2563	2
1	514	1939	1
1	515	255	0
1	516	449	0
1	517	293	0
1	518	1815	1
1	519	2695	2
1	520	288	0
1	521	188	0
1	522	1614	1
1	523	2219	2
1	524	1687	1
1	525	187	0
1	526	191	0
1	527	985	0
1	528	912	0
1	529	2442	2
1	530	193	0
1	531	340	0
1	532	413	0
1	533	2880	2
1	534	401	0
1	535	837	0
1	536	1410	1
1	537	270	0
1	538	182	0
1	539	249	0
1	540	261	0
1	541	234	0
1	542	4035	4
1	543	1944	1
1	544	1365	1
1	545	2737	2
1	546	423	0
1	547	201	0
1	548	201	0
1	549	197	0
1	550	271	0
1	551	192	0
1	552	267	0
1	553	168	0
1	554	1863	1
1	555	2206	2
1	556	1842	1
1	557	92	0
1	558	1140	1
1	559	2860	2
1	560	37	0
1	561	33	0
1	562	34	0
1	563	33	0
1	564	21	0
1	565	21	0
1	566	24	0
1	567	21	0
1	568	21	0
1	569	21	0
1	570	21	0
1	571	24	0
1	572	24	0
1	573	37	0
1	574	31	0
1	575	24	0
1	576	22	0
1	577	22	0
1	578	21	0
1	579	21	0
1	580	24	0
1	581	22	0
1	582	21	0
1	583	22	0
1	584	22	0
1	585	25	0
1	586	21	0
1	587	26	0
1	588	23	0
1	589	21	0
1	590	21	0
1	591	20	0
1	592	21	0
1	593	20	0
1	594	20	0
1	595	22	0
1	596	21	0
1	597	23	0
1	598	22	0
1	599	253	0
1	600	578	0
1	601	276	0
1	602	1376	1
1	603	2165	2
1	604	98	0
1	605	273	0
1	606	1689	1
1	607	3770	3
1	608	227	0
1	609	382	0
1	610	2332	2
1	611	2364	2
1	612	804	0
1	613	2150	2
1	614	1703	1
1	615	256	0
1	616	388	0
1	617	805	0
1	618	626	0
1	619	21	0
1	620	25	0
1	621	21	0
1	622	22	0
1	623	19	0
1	624	21	0
1	625	21	0
1	626	21	0
1	627	22	0
1	628	28	0
1	629	110	0
1	630	100	0
1	631	55	0
1	632	1393	1
